32.483486833333	-93.730125433333	Sundial
32.48292985	-93.7322208	Rotary Building
32.483272133333	-93.731851166667	Post Office and SUB
32.483209516667	-93.733026566667	Jackson Hall
32.48333865	-93.733739	Meadows Museum
32.483859666667	-93.73131635	Labor Omni Vincit
32.482791966667	-93.733953883333	Art Building
32.484239833333	-93.731171333333	Campus Map
32.482890516667	-93.73349315	Office of Admissions
32.484082666667	-93.730765666667	Memorial Fountain
32.484551966667	-93.730969666667	Anderson Choral Building
32.484686716667	-93.731486166667	The Caf
32.484448933333	-93.7318197	Sexton Hall
32.4843397	-93.732491083333	James Hall
32.484173083333	-93.732585316667	Hardin Hall
32.484060166667	-93.730349733333	IT Department
32.482491233333	-93.73231825	Health Services
32.483817033333	-93.730036383333	Magale Library (History, Political Science)
32.48246415	-93.731713866667	Cline Hall
32.483616	-93.7321273	Randle's (nom nom nom)
32.482602066667	-93.731458133333	Fitness Center
32.48384	-93.73178005	The Shell
32.482907566667	-93.7307116	Rock Climbing Wall
32.483805133333	-93.730776366667	Hamilton Hall (Registrar, Finanial Aid)
32.4826564	-93.730388316667	Smith Building (Philosophy, Religion)
32.483268333333	-93.730318916667	Mickle Hall (Sciences)
32.48308255	-93.729849833333	Brown Chapel
32.483942433333	-93.7295895	Fraternity Houses
32.483527266667	-93.729387016667	Math Building
32.482027266667	-93.729387016667	Centenary Square (Social Science, Education)
32.481027266667	-93.729787016667	Gold Dome (Athletics)
32.485427266667	-93.73057016667	Marjorie Lyons Playhouse
